漢字,臺羅,頻次nc,華語,
期待,ki5-thai7,16,希望,
期待,ki5-thai7,16,期待,
聯絡,lian5-lok8,16,聯絡,
菩薩,phoo5-sat4,16,菩薩,
師傅,sai1-hu7,16,師傅,
隨時,sui5-si5,16,立刻,
隨時,sui5-si5,16,馬上,
臺東,tai5-tang1,16,台東,
當中,tang1-tiong1,16,當中,
中央,tiong1-ng1,16,中間,
倒轉,to3-tng2,16,回去,
嚇驚,heh4-kiann1,15,嚇,
向前,hiong3-tsian5,15,向前,
花園,hue1-hng5,15,花園,
囝兒,kiann2-ji5,15,子女,
囝兒,kiann2-ji5,15,兒子,
警察,king2-tshat4,15,警察,
其他,ki5-thann1,15,其他,
觀光,kuan1-kong1,15,觀光,
利便,li7-pian7,15,方便,
利便,li7-pian7,15,便利,
寶貝,po2-pue3,15,寶貝,
心適,sim1-sik4,15,有趣,
心適,sim1-sik4,15,愉快,
心適,sim1-sik4,15,開心,
失去,sit4-khi3,15,失去,
答應,tah4-ing3,15,允許,
答應,tah4-ing3,15,承諾,
答應,tah4-ing3,15,答應,
當時,tang1-si5,15,何時,
太太,thai3-thai3,15,太太,
電台,tian7-tai5,15,電台,
灶跤,tsau3-kha1,15,廚房,
漸漸,tsiam7-tsiam7,15,逐漸,
漸漸,tsiam7-tsiam7,15,慢慢,
漸漸,tsiam7-tsiam7,15,漸漸,
政府,tsing3-hu2,15,政府,
溫柔,un1-jiu5,15,溫柔,
翁婿,ang1-sai3,14,丈夫,
翁婿,ang1-sai3,14,先生,
翁婿,ang1-sai3,14,老公,
嚴重,giam5-tiong7,14,嚴重,
牛奶,gu5-ling1,14,牛奶,
猶有,iau2-u7,14,還有,
以外,i2-gua7,14,以外,
英雄,ing1-hiong5,14,英雄,
交通,kau1-thong1,14,交通,
氣味,khi3-bi7,14,味道,
空氣,khong1-khi3,14,空氣,
既然,ki3-jian5,14,既然,
規个,kui1-e5,14,整個,
若像,na2-tshiunn7,14,好像,
若準,na7-tsun2,14,如果,
本成,pun2-tsiann5,14,本來,
不管,put4-kuan2,14,不管,
產品,san2-phin2,14,產品,
選舉,suan2-ki2,14,選舉,
等待,tan2-thai7,14,等待,
點心,tiam2-sim1,14,點心,
超級,tshiau1-kip4,14,超級,
超過,tshiau1-kue3,14,超過,
接受,tsiap4-siu7,14,接受,
節目,tsiat4-bok8,14,節目,
整理,tsing2-li2,14,整理,
正常,tsing3-siong5,14,正常,
有名,u7-mia5,14,有名,
運命,un7-mia7,14,命運,
尪仔,ang1-a2,13,偶,
紅色,ang5-sik4,13,紅色,
安全,an1-tsuan5,13,安全,
迷人,be5-lang5,13,迷人,
藝術,ge7-sut8,13,藝術,
好看,ho2-khuann3,13,好看,
英語,ing1-gi2,13,英語,
以上,i2-siong7,13,以上,
任務,jim7-bu7,13,任務,
認為,jin7-ui5,13,認為,
確實,khak4-sit8,13,真實,
確實,khak4-sit8,13,實在,
確實,khak4-sit8,13,確實,
開喙,khui1-tshui3,13,開口,
堅持,kian1-tshi5,13,堅持,
國小,kok4-sio2,13,國小,
人人,lang5-lang5,13,人人,
老人,lau7-lang5,13,老人,
歷史,lik8-su2,13,歷史,
命運,mia7-un7,13,命運,
便當,pian7-tong1,13,便當,
悲傷,pi1-siong1,13,悲傷,
小學,sio2-hak8,13,小學,
上班,siong7-pan1,13,上班,
提醒,the5-tshenn2,13,提醒,
當咧,tng1-teh4,13,正在,
操煩,tshau1-huan5,13,擔心,
出力,tshut4-lat8,13,用力,
情意,tsing5-i3,13,感情,
自在,tsu7-tsai7,13,自在,
溫暖,un1-luan2,13,溫暖,
面對,bin7-tui3,12,面對,
無聊,bo5-liau5,12,無聊,
下港,e7-kang2,12,南部,
研究,gian2-kiu3,12,考慮,
研究,gian2-kiu3,12,研究,
願意,guan7-i3,12,願意,
原本,guan5-pun2,12,本來,
合作,hap8-tsok4,12,合作,
好好,ho2-ho2,12,好好,
何時,ho5-si5,12,何時,
夜市,ia7-tshi7,12,夜市,
用心,iong7-sim1,12,用心,
嘉義,ka1-gi7,12,嘉義,
可惜,kho2-sioh4,12,可惜,
看見,khuann3-kinn3,12,看見,
環保,khuan5-po2,12,環保,
公里,kong1-li2,12,公里,
古意,koo2-i3,12,老實,
房間,pang5-king1,12,房間,
變化,pian3-hua3,12,變化,
保證,po2-tsing3,12,保障,
生日,senn1-jit8,12,生日,
詳細,siong5-se3,12,詳細,
泅水,siu5-tsui2,12,游泳,
代表,tai7-piau2,12,代表,
值得,tat8-tit4,12,值得,
頭路,thau5-loo7,12,工作,
頭路,thau5-loo7,12,職業,
特色,tik8-sik4,12,特色,
等等,ting2-ting2,12,等等,
搪著,tng7-tioh8,12,遇到,
參觀,tsham1-kuan1,12,參觀,
暫時,tsiam7-si5,12,暫時,
成做,tsiann5-tso3,12,成為,
成做,tsiann5-tso3,12,變成,
將來,tsiong1-lai5,12,未來,
將來,tsiong1-lai5,12,將來,
自從,tsu7-tsiong5,12,自從,
為何,ui7-ho5,12,為何,
為止,ui5-tsi2,12,為止,
暗頓,am3-tng3,11,晚餐,
民國,bin5-kok4,11,民國,
學習,hak8-sip8,11,學習,
或者,hik8-tsia2,11,或者,
耳空,hinn7-khang1,11,耳朵,
彼陣,hit4-tsun7,11,那時,
放送,hong3-sang3,11,廣播,
方式,hong1-sik4,11,方式,
回收,hue5-siu1,11,回收,
感動,kam2-tong7,11,感動,
加減,ke1-kiam2,11,多少,
加減,ke1-kiam2,11,隨便,
基隆,ke1-lang5,11,基隆,
口味,khau2-bi7,11,口味,
公尺,kong1-tshioh4,11,公尺,
高鐵,ko1-thih4,11,高鐵,
掠準,liah8-tsun2,11,以為,
掠準,liah8-tsun2,11,認為,
理想,li2-siong2,11,理想,
雷公,lui5-kong1,11,雷,
年代,ni5-tai7,11,年代,
烏色,oo1-sik4,11,黑色,
放捒,pang3-sak4,11,放棄,
悲哀,pi1-ai1,11,悲傷,
畢業,pit4-giap8,11,畢業,
社區,sia7-khu1,11,社區,
數念,siau3-liam7,11,懷念,
時機,si5-ki1,11,時機,
時機,si5-ki1,11,機會,
大概,tai7-khai3,11,大概,
代先,tai7-sing1,11,事先,
擔頭,tann3-thau5,11,負擔,
天然,thian1-jian5,11,天然,
天然,thian1-jian5,11,自然,
刁工,thiau1-kang1,11,故意,
痛苦,thong3-khoo2,11,痛苦,
條件,tiau5-kiann7,11,條件,
燈火,ting1-hue2,11,燈光,
道理,to7-li2,11,理由,
道理,to7-li2,11,道理,
當初,tong1-tshoo1,11,當初,
族群,tsok8-kun5,11,族群,
全部,tsuan5-poo7,11,全部,
珠淚,tsu1-lui7,11,眼淚,
大箍,tua7-khoo1,11,胖,
大箍,tua7-khoo1,11,粗,
對待,tui3-thai7,11,對待,
安慰,an1-ui3,10,安慰,
享受,hiang2-siu7,10,享受,
耳仔,hinn7-a2,10,耳朵,
彼時,hit4-si5,10,那時,
彼時,hit4-si5,10,當時,
好用,ho2-ing7,10,好用,
放棄,hong3-khi3,10,放棄,
蝶仔,iah8-a2,10,蝴蝶,
也是,ia7-si7,10,也是,
也是,ia7-si7,10,還是,
音樂,im1-gak8,10,音樂,
勇氣,iong2-khi3,10,勇氣,
用來,iong7-lai5,10,用來,
教師,kau3-su1,10,教師,
教堂,kau3-tng5,10,教堂,
國中,kok4-tiong1,10,國中,
公斤,kong1-kin1,10,公斤,
個性,ko3-sing3,10,個性,
慣勢,kuan3-si3,10,習慣,
關心,kuan1-sim1,10,關心,
路用,loo7-ing7,10,用途,
馬上,ma2-siong7,10,馬上,
藍色,na5-sik4,10,藍色,
黃金,ng5-kim1,10,黃金,
表現,piau2-hian7,10,表現,
報紙,po3-tsua2,10,報紙,
不過,put4-ko3,10,不過,
消失,siau1-sit4,10,消失,
燒酒,sio1-tsiu2,10,酒,
時常,si5-siong5,10,常常,
時常,si5-siong5,10,經常,
想法,siunn7-huat4,10,想法,
讀書,thak8-tsu1,10,讀書,
鐵馬,thih4-be2,10,自行車,
聽候,thing3-hau7,10,等到,
早前,tsa2-tsing5,10,以前,
創造,tshong3-tso7,10,創造,
出發,tshut4-huat4,10,出發,
正爿,tsiann3-ping5,10,右邊,
進行,tsin3-hing5,10,進行,
進步,tsin3-poo7,10,進步,
大細,tua7-se3,10,大小,
衛生,ue7-sing1,10,衛生,
安排,an1-pai5,9,安排,
無去,bo50khi3,9,消失,
母親,bu2-tshin1,9,母親,
母親,bu2-tshin1,9,媽媽,
現代,hian7-tai7,9,現代,
休息,hiu1-sik4,9,休息,
