漢字,臺羅,頻次nc,華語
款,khuan2,189,款
驚,kiann1,185,怕
驚,kiann1,185,驚
出,tshut4,185,出
逐,tak8,184,每個
煞,suah4,173,結束
煞,suah4,173,怎麼
煞,suah4,173,竟然
種,tsiong2,172,種
在,tsai7,167,在
隻,tsiah4,162,隻
遐,hia1,160,那
遐,hia1,160,那裡
了,liau2,160,完
了,liau2,160,明白
了,liau2,160,損失
等,tan2,159,等
規,kui1,158,規
規,kui1,158,整個
坐,tse7,154,坐
日,jit8,153,日
聲,siann1,151,聲
媠,sui2,150,美麗
媠,sui2,150,漂亮
話,ue7,147,話
猶,iau2,146,猶
猶,iau2,146,還
害,hai7,145,害
害,hai7,145,糟
害,hai7,145,壞
對,ui3,144,往
對,ui3,144,從
開,khui1,143,開
提,theh8,142,拿
擺,pai2,141,次
擺,pai2,141,擺
通,thang1,141,可以
兜,tau1,140,附近
兜,tau1,140,家
錢,tsinn5,137,錢
錢,tsinn5,137,錢
為,ui7,136,因為
蹛,tua3,133,在
蹛,tua3,133,住
花,hue1,132,花
花,hue1,132,亂
花,hue1,132,雜
放,pang3,131,放
落,loh8,130,下
落,loh8,130,落
捌,bat4,127,明白
捌,bat4,127,知道
捌,bat4,127,曾經
捌,bat4,127,認識
捌,bat4,127,懂
名,mia5,127,名
問,mng7,126,問
拍,phah4,126,打
飛,pue1,126,飛
之,tsi1,126,之
都,to1,124,都
路,loo7,121,方法
路,loo7,121,位置
路,loo7,121,路
路,loo7,121,種類
路,loo7,121,路
疼,thiann3,120,疼
疼,thiann3,120,痛
天,thinn1,118,天
敢,kann2,117,敢
水,tsui2,116,水
水,tsui2,116,水
條,tiau5,115,條
厝,tshu3,115,房屋
掠,liah8,114,估
掠,liah8,114,抓
掠,liah8,114,按摩
掠,liah8,114,使
掠,liah8,114,讓
掠,liah8,114,拿
學,oh8,114,學
學,oh8,114,學習
手,tshiu2,114,手
遮,tsiah4,113,如此
句,ku3,111,句
算,sng3,110,算
將,tsiong1,110,將
幾,kui2,108,幾
新,sin1,108,新
歲,hue3,105,年紀
歲,hue3,105,歲
月,gueh8,104,月
啉,lim1,104,喝
耍,sng2,104,玩
耍,sng2,104,遊戲
賣,be7,103,出售
賣,be7,103,賣
粒,liap8,103,粒
箍,khoo1,102,元
箍,khoo1,102,圈
傷,siunn1,102,太
起,khi2,101,建造
起,khi2,101,起
起,khi2,101,開始
久,ku2,101,久
五,goo7,100,五
裡,li2,100,裡
四,si3,100,四
先,sing1,100,先
先,sing1,100,前
睏,khun3,98,睏
睏,khun3,98,睡覺
免,bian2,97,不必
免,bian2,97,不用
免,bian2,97,免
變,pian3,97,變
間,king1,96,間
老,lau7,94,老
心,sim1,94,心
綴,tue3,94,跟
綴,tue3,94,隨
山,suann1,92,山
生,senn1,91,生
十,tsap8,91,十
項,hang7,89,項
項,hang7,89,項
不,put4,89,不
爿,ping5,88,片
爿,ping5,88,邊
爿,ping5,88,旁
送,sang3,88,送
踅,seh8,88,踅
踅,seh8,88,繞
踅,seh8,88,轉
頭,thau5,88,頭
頭,thau5,88,第一
就,tsiu7,88,就
就,tsiu7,88,對於
徛,khia7,87,站
踮,tiam3,87,在
一,it4,86,一
一,it4,86,壹
暝,me5,86,夜
暝,me5,86,晚
半,puann3,85,半
外,gua7,83,外
風,hong1,83,風
風,hong1,83,風
菜,tshai3,83,菜
像,tshiunn7,83,像
衫,sann1,82,衣服
偌,gua7,80,多少
謼,hooh4,80,喔
笑,tshio3,80,笑
創,tshong3,80,弄
創,tshong3,80,做
比,pi2,79,比
塊,te3,79,塊
穿,tshing7,78,穿
某,boo2,77,太太
某,boo2,77,老婆
某,boo2,77,妻子
某,boo2,77,某
入,jip8,76,入
入,jip8,76,進
冬,tang1,75,冬
所,soo2,74,所
後,au7,73,後
本,pun2,73,本
小,sio2,73,小
魚,hi5,72,魚
魚,hi5,72,魚
流,lau5,72,流
哭,khau3,71,哭
隨,sui5,71,隨
隨,sui5,71,跟
隨,sui5,71,馬上
加,ke1,70,加
加,ke1,70,增加
趁,than3,70,趁
趁,than3,70,賺
飼,tshi7,70,養
飼,tshi7,70,餵
喙,tshui3,70,嘴
用,ing7,69,用
狗,kau2,69,犬
狗,kau2,69,狗
連,lian5,69,連
連,lian5,69,連
歹,phainn2,69,惡
歹,phainn2,69,壞
面,bin7,68,面
面,bin7,68,臉
唉,haih4,68,唉
點,tiam2,67,點
七,tshit4,67,七
種,tsing3,67,種
自,tsu7,67,自
跤,kha1,66,腳
讀,thak8,66,讀
佗,to2,66,何
佗,to2,66,哪
車,tshia1,66,車
寫,sia2,65,寫
吹,tshue1,65,吹
洗,se2,64,洗
尾,bue2,63,尾
海,hai2,63,海
海,hai2,63,海
暗,am3,62,晚
暗,am3,62,暗
字,ji7,62,字
早,tsa2,62,早
換,uann7,62,換
換,uann7,62,變更
囥,khng3,61,放
囥,khng3,61,擱
支,ki1,61,支
救,kiu3,61,救
二,ji7,60,二
停,thing5,60,停
前,tsing5,60,前
懸,kuan5,59,高
喝,huah4,58,叫
喝,huah4,58,喊
邊,pinn1,58,邊
總,tsong2,58,總
每,mui2,57,每
替,the3,57,替
有,iu2,56,有
人,jin5,56,人
人,jin5,56,人
遐,hiah4,55,那麼
鬥,tau3,54,鬥
活,uah8,54,活
囝,kiann2,53,小
囝,kiann2,53,男生
囝,kiann2,53,孩子
若,na2,53,好像
若,na2,53,若
陪,pue5,53,陪
紲,sua3,53,續
王,ong5,52,王
王,ong5,52,王
八,peh4,52,八
位,ui7,52,位
雨,hoo7,51,雨
教,ka3,50,叫
教,ka3,50,教
讚,tsan2,50,棒
讚,tsan2,50,讚
遍,pian3,49,回
遍,pian3,49,次
台,tai5,49,台
唱,tshiunn3,49,唱
紅,ang5,48,紅
攑,giah8,48,拿
分,hun1,48,分
舊,ku7,48,舊
蕊,lui2,48,朵
蕊,lui2,48,蕊
燒,sio1,48,燒
地,te7,48,地
倚,ua2,48,近
倚,ua2,48,靠
萬,ban7,47,萬
萬,ban7,47,萬
排,pai5,47,排
細,se3,47,小
細,se3,47,幼
倒,to2,47,倒
抑,iah8,46,或
抑,iah8,46,還是
嫁,ke3,46,嫁
個,ko3,46,個
跳,thiau3,46,跳
得,tit4,46,可以
得,tit4,46,得
賰,tshun1,46,剩
改,kai2,45,次
改,kai2,45,戒
改,kai2,45,改
靠,kho3,45,撞
靠,kho3,45,靠
光,kng1,45,光
光,kng1,45,亮
留,lau5,45,保存
留,lau5,45,留
留,lau5,45,停止
冷,ling2,45,冷
冷,ling2,45,涼
冷,ling2,45,冷
步,poo7,45,步
步,poo7,45,步
上,tsiunn7,45,上
全,tsuan5,45,全
六,lak8,44,六
領,nia2,44,領
百,pah4,44,百
情,tsing5,44,情
碗,uann2,44,碗
為,ui5,44,為
九,kau2,43,九
九,kau2,43,九
成,sing5,43,成
成,sing5,43,似
成,sing5,43,像
顧,koo3,42,顧
顧,koo3,42,顧
拜,pai3,42,拜
白,peh8,42,白
白,peh8,42,白
騙,phian3,42,騙
拄,tu2,42,抵
拄,tu2,42,剛
拄,tu2,42,遇
騎,khia5,41,騎
乖,kuai1,41,巧
乖,kuai1,41,乖
包,pau1,41,包
包,pau1,41,包
收,siu1,41,收
照,tsio3,41,照
敲,kha3,40,打
敲,kha3,40,敲
內,lai7,40,內
內,lai7,40,裡
唸,liam7,40,唸
搬,puann1,40,搬
搬,puann1,40,演出
中,tiong1,40,中
吵,tsha2,40,吵
借,tsioh4,40,借
掛,kua3,39,掛
掛,kua3,39,戴
能,ling5,39,功效
能,ling5,39,能
能,ling5,39,能力
烏,oo1,39,烏
烏,oo1,39,黑
烏,oo1,39,烏
陣,tin7,39,陣
覕,bih4,38,躲
覕,bih4,38,藏
戇,gong7,38,笨
戇,gong7,38,傻
落,lak4,38,掉
落,lak4,38,落
芳,phang1,38,芳
芳,phang1,38,香
抱,pho7,38,抱
挽,ban2,37,挽
挽,ban2,37,採
挽,ban2,37,摘
挽,ban2,37,拔
挽,ban2,37,撐
嘻,hi1,37,嘻
由,iu5,37,由
由,iu5,37,從
黃,ng5,37,黃
黃,ng5,37,黃
伴,phuann7,37,伴
向,hiong3,36,向
離,li7,36,分開
離,li7,36,完
離,li7,36,距離
離,li7,36,離
茶,te5,36,茶
少,tsio2,36,少
䆀,bai2,35,醜
夢,bang7,35,夢
雲,hun5,35,雲
又,iu7,35,又
飯,png7,35,飯
和,ham7,34,和
和,ham7,34,跟
和,ham7,34,與
和,ham7,34,加入
林,lim5,34,林
林,lim5,34,林
被,pi7,34,被
雙,siang1,34,雙
張,tiunn1,34,張
張,tiunn1,34,張
攢,tshuan5,34,準備
船,tsun5,34,船
遠,hng7,33,遠
回,hue5,33,回
枵,iau1,33,餓
抾,khioh4,33,撿
考,kho2,33,考
歌,kua1,33,歌
事,su7,33,事
甜,tinn1,33,甜
馬,be2,32,馬
而,ji5,32,而
枝,ki1,32,枝
關,kuainn1,32,關
配,phue3,32,配
殺,sat4,32,殺
殺,sat4,32,狠
頓,tng3,32,頓
清,tshing1,32,清
安,an1,31,安
安,an1,31,設置
安,an1,31,安
肉,bah4,31,肉
嫌,hiam5,31,嫌
贏,iann5,31,贏
仝,kang7,31,同
搝,khiu2,31,扯
搝,khiu2,31,拉
搝,khiu2,31,揪
受,siu7,31,受
頂,ting2,31,頂
長,tng5,31,長
接,tsiap4,31,接
酒,tsiu2,31,酒
牛,gu5,30,牛
牛,gu5,30,牛
還,hing5,30,還
逐,jiok4,30,追
逐,jiok4,30,逐
雞,ke1,30,雞
氣,khi3,30,氣
兼,kiam1,30,兼
件,kiann7,30,件
命,mia7,30,命
帶,tua3,30,帶
曝,phak8,29,曝
拚,piann3,29,拚
娶,tshua7,29,娶
正,tsiann3,29,右
正,tsiann3,29,正
逝,tsua7,29,條
逝,tsua7,29,趟
逝,tsua7,29,回
逝,tsua7,29,行
段,tuann7,29,段
夜,ia7,28,夜
搖,io5,28,搖
牽,khan1,28,牽
辦,pan7,28,辦
餅,piann2,28,餅
布,poo3,28,布
跋,puah8,28,跌
跋,puah8,28,賭
輸,su1,28,輸
重,tang7,28,重
今,tann1,28,如今
今,tann1,28,剛才
今,tann1,28,現在
箸,ti7,28,箸
再,tsai3,28,再
差,tsha1,28,差
差,tsha1,28,差別
蛇,tsua5,28,蛇
陣,tsun7,28,陣
以,i2,27,以
要,iau3,27,要
求,kiu5,27,求
飽,pa2,27,飽
飽,pa2,27,滿滿
班,pan1,27,班
破,phua3,27,破
照,tsiau3,27,依照
照,tsiau3,27,按照
翁,ang1,26,丈夫
翁,ang1,26,翁
苦,khoo2,26,苦
各,kok4,26,各
寡,kua2,26,一些
寡,kua2,26,寡
寒,kuann5,26,冷
寒,kuann5,26,寒
滿,mua2,26,全部
滿,mua2,26,滿
分,pun1,26,分
泅,siu5,26,游
擲,tan3,26,丟
通,thong1,26,通
通,thong1,26,全部
通,thong1,26,共同
通,thong1,26,溝通
糋,tsinn3,26,炸
未,bue7,25,未
未,bue7,25,沒
家,ka1,25,家
咬,ka7,25,咬
蓋,kai3,25,蓋
闊,khuah4,25,寬
闊,khuah4,25,闊
見,kinn3,25,見
見,kinn3,25,看
捾,kuann7,25,串
捾,kuann7,25,提
女,li2,25,女
駛,sai2,25,開
駛,sai2,25,駕
駛,sai2,25,駛
神,sin5,25,神
他,thann1,25,他
斷,tng7,25,斷
眾,tsiong3,25,眾
傱,tsong5,25,跑
傱,tsong5,25,衝
慢,ban7,24,慢
假,ke2,24,假
假,ke2,24,裝
趕,kuann2,24,趕
片,phinn3,24,片
片,phinn3,24,個性
報,po3,24,報
雪,seh4,24,雪
天,thian1,24,天
載,tsai3,24,載
座,tso7,24,座
味,bi7,23,味道
無,bu5,23,沒有
無,bu5,23,無
吼,hau2,23,吼
吼,hau2,23,哭
火,hue2,23,火
如,ju5,23,及
如,ju5,23,如
如,ju5,23,似
如,ju5,23,若
如,ju5,23,像
猴,kau5,23,猴
記,ki3,23,記
鼻,phinn7,23,聞
鼻,phinn7,23,鼻
身,sin1,23,身
身,sin1,23,懷孕
焦,ta1,23,乾
焦,ta1,23,焦
當,tng1,23,當
黨,tong2,23,黨
擋,tong3,23,擋
摻,tsham1,23,加入
摻,tsham1,23,混合
深,tshim1,23,深
拭,tshit4,23,拭
拭,tshit4,23,擦
米,bi2,22,米
米,bi2,22,米
明,bing5,22,明
摸,bong1,22,摸
舞,bu2,22,搞
舞,bu2,22,舞
快,khuai3,22,快
練,lian7,22,練習
練,lian7,22,練
練,lian7,22,練
滴,tih4,22,滴
紮,tsah4,22,帶
羞,tshiu1,22,羞
號,ho7,21,號
影,iann2,21,影
開,khai1,21,開
高,ko1,21,高
高,ko1,21,高
掘,kut8,21,掘
挵,long3,21,敲
挵,long3,21,撞
媽,ma1,21,媽
孫,sun1,21,孫
此,tshu2,21,此
招,tsiau1,21,招
形,hing5,20,形
形,hing5,20,樣子
