漢字,臺羅,頻次nc,,,
oo-tóo-bái,oo1-too2-bai2,11,,摩托車,機車
oo-bá-sáng,oo1-ba2-sang2,9,,歐巴桑,
khà-sàng,kha3-sang3,6,,媽媽,母親
gì-tà,gi3-ta3,7,,吉他,
查某𡢃仔,tsa1-boo2-kan2-a2,6,,丫鬟,女婢
厝邊頭尾,tshu3-pinn1-thau5-bue2,11,,左鄰右舍,
柑仔蜜豬,kam1-a2-bit8-ti1,10,卡通人物名,,
相思仔花,siunn1-si1-a2-hue1,10,,,
番薯之聲,han1-tsi5-tsi1-siann1,9,,番薯之聲,
規家伙仔,kui1-ke1-hue2-a2,9,,整家人,
菩薩娘娘,phoo5-sat4-niu5-niu5,9,,菩薩娘娘,
天公伯仔,thinn1-kong1-peh4-a2,9,,老天爺,
一陣一陣,tsit8-tsun7-tsit8-tsun7,9,,一陣一陣,
猴死囡仔,kau5-si2-gin2-a2,8,,小兔崽子,
崁頭崁面,kham3-thau5-kham3-bin7,8,,,
平常時仔,ping5-siong5-si5-a2,8,,平常,
喙笑目笑,tshui3-tshio3-bak8-tshio3,8,,眉開眼笑,
一點點仔,tsit8-tiam2-tiam2-a2,8,,一點點,
五花十色,goo7-hue1-tsap8-sik4,7,,五花十色,
_xDD0A__xD857_仔店,kam2-a2-tiam3,7,,雜貨店,
閃閃爍爍,siam2-siam2-sih4-sih4,7,,閃閃爍爍,
水梨仔鳥,tsui2-lai5-a2-tsiau2,7,卡通人物名,,
大大細細,tua7-tua7-se3-se3,7,,大大小小,
矮仔冬瓜,e2-a2-tang1-kue1,6,,矮冬瓜,
下跤手人,e7-kha1-tshiu2-lang5,6,,手下,
兇兇狂狂,hiong1-hiong1-kong5-kong5,6,,慌慌張張,
姑不而將,koo1-put4-ji5-tsiong1,6,,不情不願,
不可思議,put4-kho2-su1-gi7,6,,不可思議,
無法度,bo5-huat4-too7,86,,沒有辦法,
_xDC68__xD861_迌,tshit4-tho5,81,,玩,遊玩
魔神仔,moo5-sin5-a2,68,,鬼,幽靈
閩南語,ban5-lam5-gi2,63,,閩南語,
按呢生,an2-ne1-senn1,61,,這樣子,這個地步
好好仔,ho2-ho2-a2,49,,好好的,
peh,peh4,48,,,
會記得,e7-ki3-tit4,42,,記得,
遮爾仔,tsiah4-ni7-a2,31,,這麼的,
_xDC95__xD842_早,gau5-tsa2,27,,早安,
無的確,bo5-tik4-khak4,23,,說不定,
烏白來,oo1-peh8-lai5,23,,亂來,
沓沓仔,tauh8-tauh8-a2,23,,慢慢的,
頭家娘,thau5-ke1-niu5,22,,老闆娘,
菜市仔,tshai3-tshi7-a2,22,,菜市場,
兄妹仔,hiann1-mue7-a2,19,,兄妹,
火金蛄,hue2-kim1-koo1,19,,螢火蟲,
慢慢仔,ban7-ban7-a2,18,,慢慢的,
貓頭鳥,niau1-thau5-tsiau2,17,,貓頭鷹,
先生娘,sian1-sinn1-niu5,15,,醫生太太,
笑咪咪,tshio3-bi5-bi5,15,,笑咪咪,
一下仔,tsit8-e7-a2,15,,一下子,
崗山仔,kang1-suann1-a2,14,,崗山仔,
苦瓜封,khoo2-kue1-hong1,14,,苦瓜封,
洗身軀,se2-sin1-khu1,14,,洗澡,
身軀頂,sin1-khu1-ting2,14,,身上,
序大人,si7-tua7-lang5,14,,長輩,
五日節,goo7-jit8-tseh4,13,,端午節,
歇睏日,hioh4-khun3-jit8,13,,休息日,
想袂到,siunn7-be7-kau3,13,,想不到,
臺灣人,tai5-uan5-lang5,13,,臺灣人,
試看覓,tshi3-khuann3-mai7,13,,試試看,
笑咍咍,tshio3-hai1-hai1,13,,笑呵呵,
做生理,tso3-sing1-li2,13,,做生意,
大頭仔,tua7-thau5-a2,13,,,
紅記記,ang5-ki3-ki3,12,,紅通通,
無路用,bo5-loo7-ing7,12,,沒用,
圓箍仔,inn5-khoo1-a2,12,,圓圈,
狗仔囝,kau2-a2-kiann2,12,,小狗,
門口埕,mng5-khau2-tiann5,12,,門庭,
澹糊糊,tam5-koo5-koo5,12,,濕漉漉,
千里眼,tshian1-li2-gan2,12,,千里眼,
禮拜日,le2-pai3-jit8,11,,禮拜日,
布袋戲,poo3-te7-hi3,11,,布袋戲,
四秀仔,si3-siu3-a2,11,,零食,
冬山河,tang1-suann1-ho5,11,,冬山河,
長頷鹿,tng5-am7-lok8,11,,長頸鹿,
昭慶寺,tsiau1-khing3-si7,11,,昭慶寺,
運動會,un7-tong7-hue7,11,,運動會,
翁仔某,ang1-a2-boo2,10,,夫妻,
阿婆仔,a1-po5-a2,10,,阿婆,
無細膩,bo5-se3-ji7,10,,不小心,
囡仔兄,gin2-a2-hiann1,10,,小朋友,
彼當陣,hit4-tang1-tsun7,10,,那時候,
虎豹母,hoo2-pa3-bu2,10,,惡婆娘,
猴囡仔,kau5-gin2-a2,10,,小兔崽子,
跤頭趺,kha1-thau5-u1,10,,膝蓋,
輕輕仔,khin1-khin1-a2,10,,輕輕的,
金金看,kim1-kim1-khuann3,10,,盯,注視
攬牢牢,lam2-tiau5-tiau5,10,,抱緊緊,
擂臺主,lui5-tai5-tsu2,10,,擂臺主,
死囡仔,si2-gin2-a2,10,,,
小朋友,sio2-ping5-iu2,10,,小朋友,
相借問,sio1-tsioh4-mng7,10,,,
順風耳,sun7-hong1-ni2,10,,順風耳,
太武山,thai3-bu2-suann1,10,,太武村,
菜蔬村,tshai3-se1-tshuan1,10,,,
青紅燈,tshenn1-ang5-ting1,10,,紅綠燈 ,
自按呢,tsu7-an2-ne1,10,,,
運動埕,un7-tong7-tiann5,10,,運動場,
五虎山,goo7-hoo2-suann1,9,,五虎山,
彼當時,hit4-tong1-si5,9,,哪當時,
日本人,jit8-pun2-lang5,9,,日本人,
口服液,khau2-hok8-ik8,9,,口服液,
苦毒丸,khoo2-tok8-uan5,9,,,
老大人,lau7-tua7-lang5,9,,老年人,
馬鈴薯,ma2-ling5-tsi5,9,,馬鈴薯,
咇咇掣,phih8-phih8-tshuah4,9,,打哆嗦,
踅踅唸,seh8-seh8-liam7,9,,碎碎念,
心肝內,sim1-kuann1-lai7,9,,內心裡,
小金英,sio2-kim1-ing1,9,,,
打馬膠,ta2-ma2-ka1,9,,柏油,
霆雷公,tan5-lui5-kong1,9,,打雷,
窗仔門,thang1-a2-mng5,9,, 窗戶,
偷偷仔,thau1-thau1-a2,9,, 偷偷地,
恬恬仔,tiam7-tiam7-a2,9,,靜靜的,
樹仔頂,tshiu7-a2-ting2,9,,樹上,
樹葉仔,tshiu7-hioh8-a2,9,,樹葉,
萬萬歲,ban7-ban7-sue3,8,,萬萬歲,
覕相揣,bih4-sio1-tshue7,8,,捉迷藏,
肩胛頭,king1-kah4-thau5,8,,,
橋仔頭,kio5-a2-thau5,8,,橋頭,
講白賊,kong2-peh8-tshat8,8,,說謊,
鼓仔燈,koo2-a2-ting1,8,,燈籠,
歌仔戲,kua1-a2-hi3,8,,歌仔戲,
不得已,put4-tik4-i2,8,,不得已,
賽關公,sai3-kuan1-kong1,8,,,
少棒隊,siau3-pang7-tui7,8,,少棒隊,
太陽花,thai3-iong5-hue1,8,,向日葵,
土地公,thoo2-ti7-kong1,8,,土地公,
樹仔跤,tshiu7-a2-kha1,8,,樹下,
姊妹仔,tsi2-mue7-a2,8,,姊妹,
石頭輪,tsioh8-thau5-lian2,8,,石頭輪,
一站仔,tsit8-tsam7-a2,8,,一陣子,
總舖師,tsong2-phoo3-sai1,8,,廚師,
水筆仔,tsui2-pit4-a2,8,,水筆仔,
衛生所,ue7-sing1-soo2,8,,衛生所,
哎喲喂,ai1-io7-ue5,7,,哎喲喂,
阿里山,a1-li2-san1,7,,阿里山,
掩紋土,am1-bun5-thoo5,7,,水泥,
暗頭仔,am3-thau5-a2,7,,,
安全帽,an1-tsuan5-bo7,7,,安全帽,
玉蘭花,giok8-lan5-hue1,7,,玉蘭花,
原子筆,guan5-tsu2-pit4,7,,原子筆,
火車頭,hue2-tshia1-thau5,7,,火車站,
日月潭,jit8-guat8-tham5,7,,日月潭,
日頭光,jit8-thau5-kng1,7,,陽光,
計程車,ke3-thing5-tshia1,7,,計程車,
寬寬仔,khuann1-khuann1-a2,7,,,
驚見笑,kiann1-kian3-siau3,7,,害羞,
高麗菜,ko1-le5-tshai3,7,,高麗菜,
乖乖仔,kuai1-kuai1-a2,7,,乖乖的,
瘦猴仔,san2-kau5-a2,7,,瘦皮猴,
當時仔,tang1-si5-a2,7,, 當時,
倒轉來,to3-tng2-lai5,7,, 回來,
走相逐,tsau2-sio1-jiok4,7,,賽跑,
青青青,tshenn1-tshenn1-tshenn1,7,,,
市議員,tshi7-gi7-uan5,7,,市議員,
笑笑仔,tshio3-tshio3-a2,7,,笑笑的,
鳥仔囝,tsiau2-a2-kiann2,7,, 幼鳥,
這世人,tsit4-si3-lang5,7,,這輩子,
作穡人,tsoh4-sit4-lang5,7,,農夫,
暗時仔,am3-si5-a2,6,,晚上,
無尾熊,bo5-bue2-him5,6,,無尾熊,
無尾熊,bo5-bue2-him5,6,,,
墓仔埔,bong7-a2-poo1,6,,墓場,
某乜人,boo2-mi2-lang5,6,,某人,
無代誌,bo5-tai7-tsi3,6,,沒事,
矮靈祭,e2-ling5-tse3,6,,矮靈祭,
彼時陣,hit4-si5-tsun7,6,,那時候,
柑仔蜜,kam1-a2-bit8,6,,番茄,
溪仔水,khe1-a2-tsui2,6,,溪水,
強力鎖,kiong5-lik8-so2,6,,強力鎖,
救護車,kiu3-hoo7-tshia1,6,,救護車,
古早味,koo2-tsa2-bi7,6,,,
冷吱吱,ling2-ki1-ki1,6,,冷颼颼,
媽祖婆,ma2-tsoo2-po5,6,,媽祖婆,
滿四界,mua2-si3-ke3,6,,到處都是,
白翎鷥,peh8-ling7-si1,6,,白鷺鷥,
拍噗仔,phah4-phok8-a2,6,, 鼓掌,
半暝仔,puann3-me5-a2,6,, 半夜,
少年人,siau3-lian5-lang5,6,,少年人,
惜命命,sioh4-mia7-mia7,6,,,
大港埔,tai7-kang2-poo1,6,,,
中秋節,tiong1-tshiu1-tseh4,6,,中秋節,
中洲仔,tiong1-tsiu1-a2,6,,,
治嗽散,ti7-sau3-san2,6,,治嗽散,
得人疼,tit4-lang5-thiann3,6,,,
倒轉去,to3-tng2-khi3,6,,回去,
㴙㴙滴,tshap8-tshap8-tih4,6,,,
一个仔,tsit8-e5-a2,6,,一下子,
一睏仔,tsit8-khun3-a2,6,,一陣子,
準拄煞,tsun2-tu2-suah4,6,,算了,
in,in1,398,,他們,他
阿媽,a1-ma2,344,,奶奶,
囡仔,gin2-a2,332,,小孩,
看著,khuann3-tioh8,218,, 看到,
想欲,siunn7-beh4,212,,想要,
臺灣,tai5-uan5,201,,臺灣,
阿公,a1-kong1,136,,爺爺,
拜託,pai3-thok4,105,,拜託,
遮爾,tsiah4-ni7,103,, 這麼,
為著,ui7-tioh8,103,,為了,
毋著,m7-tioh8,101,,不對 ,
哎唷,aih4-ioh4,93,,哎唷,
猶未,iau2-bue7,87,, 還沒,
第二,te7-ji7,86,,第二,
佮意,kah4-i3,81,, 喜歡,
爸爸,pa2-pah4,81,,爸爸,
入去,jip8-khi3,79,,進去,
??,tshua7,79,,帶,
第三,te7-sann1,78,,第三,
好食,ho2-tsiah8,75,, 好吃,
著愛,tioh8-ai3,75,,,
??,gau5,70,,,
阿桂,a1-kui3,69,,,
拍拚,phah4-piann3,69,,努力,
轉去,tng2-khi3,69,,回去,
變做,pian3-tso3,62,,變做,
故鄉,koo3-hiong1,61,,故鄉,
心內,sim1-lai7,60,,心裡,
姑娘,koo1-niu5,59,,姑娘,
失禮,sit4-le2,57,,失禮 ,
第四,te7-si3,56,,第四,
想著,siunn7-tioh8,55,, 想到,
第五,te7-goo7,55,,第五,
小等,sio2-tan2,54,, 稍等,
落雨,loh8-hoo7,52,,下雨,
透早,thau3-tsa2,52,,,
遮的,tsia1-e5,50,,,
過來,kue3-lai5,49,,過來,
呵咾,o1-lo2,49,,誇獎,
想講,siunn7-kong2,46,,想說,
一寡,tsit8-kua2,44,,一些,
塗豆,thoo5-tau7,43,,土豆,
阿婆,a1-po5,42,,,
小姐,sio2-tsia2,42,,小姐,
再會,tsai3-hue7,42,,,
月娘,gueh8-niu5,41,, 月亮,
轉來,tng2-lai5,40,, 回來,
十二,tsap8-ji7,39,,,
澎湖,phinn5-oo5,38,,澎湖,
大人,tua7-lang5,38,,大人,
弘毅,hong5-ik4,37,,,
強欲,kiong7-beh4,37,,,
日本,jit8-pun2,36,,日本,
寶島,po2-to2,36,,寶島,
素蘭,soo3-lan5,36,,,
阿伯,a1-peh4,35,,,
袂曉,be7-hiau2,34,,不會,
可惡,kho2-onn3,34,,可惡,
保庇,po2-pi3,34,,保佑,
小妹,sio2-mue7,34,,小妹,
番薯,han1-tsi5,32,,番薯,
好耍,ho2-sng2,32,, 好玩,
干樂,kan1-lok8,32,, 陀螺,
萱姑,suan1-koo1,31,,,
有時,u7-si5,31,,,
阿姑,a1-koo1,30,, 姑媽,
魚仔,hi5-a2,30,,魚,
雲州,hun5-tsiu1,30,,,
入來,jip8-lai5,30,,進來,
講著,kong2-tioh8,30,,,
一百,tsit8-pah4,30,,一百,
當做,tong3-tso3,29,,當做,
庄跤,tsng1-kha1,29,,鄉下,
鵁鴒,ka1-ling7,28,,,
鳥鼠,niau2-tshi2,28,, 老鼠,
熟似,sik8-sai7,28,, 相識,
相招,sio1-tsio1,28,,,
臺語,tai5-gi2,28,,臺語,
跳舞,thiau3-bu2,28,,跳舞,
親情,tshin1-tsiann5,28,,親戚,
食飽,tsiah8-pa2,28,,吃飽,
食飯,tsiah8-png7,28,, 吃飯,
哎喲,ai1-io7,27,,哎喲,
佳哉,ka1-tsai3,27,,好在,
見笑,kian3-siau3,27,,,
今夜,kim1-ia7,27,,今晚,
孤單,koo1-tuann1,27,,孤單,
厝邊,tshu3-pinn1,27,,鄰居,
哎啊,aih4-ah4,26,,哎啊,
無夠,bo5-kau3,26,, 不夠,
山頂,suann1-ting2,26,, 山頂,
再見,tsai3-kian3,26,,再見,
金門,kim1-mng5,25,,金門,
紅豆,ang5-tau7,24,,紅豆,
彼號,hit4-lo7,24,,那個,
救人,kiu3-lang5,24,,救人,
杜蚓,too7-kun2,24,, 蚯蚓,
十八,tsap8-peh4,24,,十八,
美國,bi2-kok4,23,,美國,
散步,san3-poo7,23,,散步,
爽快,song2-khuai3,23,,爽快,
思念,su1-liam7,23,,思念,
阿魯,a1-loo2,22,,,
風吹,hong1-tshue1,22,,風箏,
花田,hua1-tian5,22,,,
交代,kau1-tai3,22,,交代,
來到,lai5-kau3,22,,來到,
小可,sio2-khua2,22,,稍微,
揣著,tshue7-tioh8,22,,找到,
阿英,a1-ing1,21,,,
肉粽,bah4-tsang3,21,,肉粽,
救命,kiu3-mia7,21,,救命,
歌聲,kua1-siann1,21,,歌聲,
世間,se3-kan1,21,,世間,
心愛,sim1-ai3,21,,心愛,
新婦,sin1-pu7,21,, 媳婦,
第七,te7-tshit4,21,,第七,
特派,tik8-phai3,21,,特派,
插播,tshah4-poo3,21,,插播,
阿舅,a1-ku7,20,, 舅舅,
阿姆,a1-m2,20,,伯母,
阿叔,a1-tsik4,20,, 叔叔,
好命,ho2-mia7,20,,好命,
黃昏,hong5-hun1,20,,黃昏,
花蕊,hue1-lui2,20,,花蕊,
骨力,kut4-lat8,20,,勤勞,
妹妹,me10meh4,20,,妹妹,
生做,senn1-tso3,20,,長得,
湯匙,thng1-si5,20,,湯匙,
肚臍,too7-tsai5,20,,肚臍,
袂赴,be7-hu3,19,,來不及,
尾溜,bue2-liu1,19,,,
海湧,hai2-ing2,19,,海浪,
遐的,hia1-e5,19,,那些,
狗蟻,kau2-hia7,19,,螞蟻,
氣象,khi3-siong7,19,,氣象,
恭喜,kiong1-hi2,19,,恭喜,
毋驚,m7-kiann1,19,, 不怕,
芳味,phang1-bi7,19,,香味,
俗語,siok8-gi2,19,,俗語,
相爭,sio1-tsenn1,19,,相爭,
第六,te7-lak8,19,,,
田園,tshan5-hng5,19,,田園,
出海,tshut4-hai2,19,,出海,
阿玉,a1-giok8,18,,,
阿賢,a1-hian5,18,,,
阿姊,a1-tsi2,18,, 姊姊,
無情,bo5-tsing5,18,,無情,
葉仔,hioh8-a2,18,, 葉子,
好天,ho2-thinn1,18,, 好天氣,
緣投,ian5-tau5,18,,英俊,
落山,loh8-suann1,18,,下山,
名聲,mia5-siann1,18,,名聲,
陛下,pe3-ha7,18,,陛下,
聽眾,thiann1-tsiong3,18,,聽眾,
千歲,tshian1-sue3,18,,千歲,
創治,tshong3-ti7,18,,捉弄,
怨嘆,uan3-than3,18,,,
紅柿,ang5-khi7,17,,柿子,
沿路,ian5-loo7,17,,沿路,
認明,jin7-bing5,17,,認明,
江湖,kang1-oo5,17,,江湖,
